log_M,U,R,U - R,Morphology
10.034622,17.794542,16.36154,1.4330025,3
10.853475,19.097593,16.395817,2.7017765,0
10.172261,15.677632,14.099482,1.5781507,4
11.321633,17.86698,15.156206,2.7107735,3
10.456839,18.204664,15.71088,2.493784,3
10.324149,18.8499,16.354729,2.4951706,1
9.708374,16.825174,15.47412,1.3510542,0
10.122098,17.143633,15.506105,1.6375275,0
10.252276,18.592142,16.1633,2.4288425,0
9.911036,18.615652,16.597746,2.0179062,0
10.019455,17.563856,15.535886,2.0279703,4
10.407998,18.388885,15.978955,2.4099302,1
10.493994,16.670341,14.664214,2.0061274,4
9.630265,18.801657,16.918861,1.8827953,0
10.697628,17.489052,14.987017,2.5020351,0
10.255076,17.271215,15.346383,1.9248323,4
10.626197,17.15107,14.965927,2.1851425,4
9.664872,18.358553,16.497065,1.8614883,0
10.793779,18.302988,15.581549,2.7214394,0
9.715201,18.188461,16.349836,1.838625,0
9.578598,18.2694,16.697262,1.5721378,4
10.600873,17.012978,15.015528,1.9974499,1
9.792234,17.846375,16.558952,1.2874222,0
9.873065,18.520359,16.868732,1.6516266,0
9.352593,17.971859,16.676819,1.2950401,0
11.624459,17.292593,14.597611,2.6949816,1
9.347988,18.716658,16.954927,1.7617302,0
10.443875,17.571787,15.059112,2.5126753,4
11.066354,18.5581,15.84765,2.7104502,0
10.563718,17.186165,15.006686,2.1794786,4
10.462802,17.452005,15.076749,2.3752565,4
11.21384,18.12701,15.409347,2.7176638,3
10.569154,15.888153,14.080395,1.8077583,4
9.890394,18.611294,16.44738,2.1639137,1
10.893297,18.777937,15.963807,2.8141298,4
9.911222,18.996252,16.77405,2.2222023,4
10.045916,19.03207,16.618837,2.4132328,0
10.795179,16.472588,14.159969,2.3126183,0
10.777919,19.423382,16.685324,2.738058,4
10.250687,16.175386,14.337685,1.8377018,4
10.042011,17.235758,15.596191,1.6395664,4
9.705075,18.082989,16.686815,1.3961735,4
11.674445,16.874832,14.228616,2.6462164,4
11.459664,17.049078,14.451574,2.5975037,1
10.808332,17.745575,15.278219,2.4673557,3
10.473277,18.456358,16.116877,2.3394814,4
9.607709,17.486206,16.153925,1.3322811,0
10.796769,17.096163,14.498911,2.597252,1
10.19698,18.448837,16.43002,2.018818,4
10.136254,18.30475,16.38776,1.9169903,0
11.118711,17.461042,14.711617,2.749425,1
9.490344,16.875324,15.659232,1.2160921,0
11.656178,16.326208,13.408378,2.9178305,0
10.788343,17.061237,14.622335,2.438902,4
10.766788,18.556223,15.767728,2.788495,4
10.323181,18.636086,16.056898,2.5791874,1
9.876534,18.136314,16.245087,1.8912277,0
10.582455,16.443275,14.891518,1.5517578,4
9.726667,18.276115,16.704496,1.571619,0
11.146015,18.584755,15.795612,2.7891426,0
9.993643,18.164549,16.22494,1.9396095,1
9.85421,19.16322,16.838612,2.3246078,1
9.833396,18.207083,16.554598,1.6524849,4
10.851885,16.6135,14.284209,2.3292913,4
10.105188,17.024038,15.153469,1.8705692,1
10.946363,17.488903,14.91013,2.5787735,0
9.448889,18.009024,16.272242,1.7367821,4
10.723665,17.470524,14.964402,2.5061216,0
9.677302,18.000275,16.678595,1.3216801,0
10.06925,18.838387,16.349321,2.4890652,0
10.745031,17.10178,14.922237,2.1795425,4
9.942464,17.79457,15.978238,1.8163328,4
9.887281,17.73167,16.332481,1.399189,0
9.599106,18.07575,16.521727,1.5540237,0
10.425647,17.753462,15.592776,2.1606855,4
10.621511,16.895372,14.9345255,1.9608469,4
11.064055,17.513592,14.964001,2.549591,4
10.980493,16.867805,15.08968,1.7781258,0
10.205853,17.453522,15.567779,1.8857431,4
10.01303,17.843739,15.844521,1.999218,0
10.094065,17.546076,15.659156,1.88692,4
9.868366,18.603151,16.653084,1.9500675,0
9.594081,18.294468,16.999279,1.2951889,4
10.388987,17.613083,15.950462,1.6626205,4
10.71384,18.983103,16.407019,2.5760841,1
11.269777,17.212454,14.540788,2.6716661,0
10.220585,17.575365,15.127651,2.4477139,0
11.558118,17.257862,14.554643,2.7032194,4
9.792048,17.420128,15.6996975,1.7204304,4
10.240481,18.883108,16.693544,2.1895638,0
10.048436,17.366629,15.553927,1.8127012,4
10.882242,18.111359,15.501211,2.6101475,1
11.347347,17.704433,15.001672,2.7027617,0
11.326171,17.05379,14.213864,2.8399248,0
11.311808,18.193268,15.418147,2.7751207,0
11.288006,16.275568,13.597089,2.6784792,0
9.902652,17.591377,15.683042,1.9083357,0
10.076077,18.131977,16.163506,1.9684715,0
11.55759,16.482609,13.733183,2.749426,0
10.630085,16.802252,14.502466,2.2997856,4
9.586765,17.559542,16.136395,1.4231472,0
10.373669,17.75383,15.326805,2.4270248,4
9.866467,17.260164,15.610014,1.6501503,4
10.080154,19.327679,16.81465,2.513029,4
10.416572,17.833916,15.854534,1.9793816,4
9.815569,18.157944,16.32782,1.8301239,0
9.877155,18.456194,16.870222,1.5859718,0
10.531126,17.23127,15.065251,2.1660185,0
9.763497,18.76906,16.675034,2.0940266,4
10.156705,17.85356,15.9767475,1.876812,4
10.705975,17.171915,14.846858,2.325057,4
10.376616,18.911753,16.427124,2.4846287,0
9.922598,16.789911,15.608331,1.1815805,4
9.574119,18.057735,16.660137,1.3975983,0
10.367393,17.089441,15.334194,1.7552471,4
10.090596,18.67828,16.699352,1.9789276,0
10.58656,17.757229,15.247765,2.5094643,4
11.102083,17.028694,14.306012,2.722682,0
10.549165,18.199272,15.760898,2.4383745,0
10.046102,18.58181,16.15546,2.4263496,1
11.535014,16.930809,14.0389805,2.8918285,4
10.952639,18.544054,15.915056,2.6289978,0
11.604011,16.385836,13.648328,2.7375078,0
10.278541,17.78875,16.001944,1.7868061,3
10.104147,17.876036,15.521596,2.3544397,4
10.501669,19.405712,16.82727,2.5784416,0
10.013994,18.568398,16.361197,2.207201,1
10.24244,16.879833,15.487449,1.3923845,4
10.076856,18.162931,16.440767,1.7221642,0
11.189336,18.214645,15.492861,2.7217846,0
10.286416,16.564238,14.450619,2.1136189,1
10.337374,16.932566,15.084266,1.8483,4
10.977355,18.30478,15.578774,2.7260046,4
10.871931,17.36192,14.768511,2.5934086,0
11.563718,17.376335,14.669845,2.7064905,0
10.229015,17.607452,15.80736,1.8000927,0
10.084245,17.89689,15.805497,2.0913935,0
10.942665,18.186249,15.551157,2.6350918,0
10.097799,16.959015,15.155007,1.8040075,4
9.860635,17.079664,15.858379,1.2212849,0
10.611496,17.073198,14.94769,2.1255083,0
11.148314,18.42263,15.667461,2.755169,0
9.677302,18.835236,16.660044,2.1751919,0
11.766977,16.482275,13.6957,2.7865753,4
11.792042,17.07545,13.973488,3.101963,1
10.158447,17.618359,15.693129,1.92523,0
11.617311,15.981879,13.280169,2.7017107,1
9.599542,18.918238,16.861322,2.0569153,0
9.75533,18.760048,16.966747,1.7933006,4
11.439528,17.234623,14.543018,2.6916046,0
9.660968,17.232237,15.8528805,1.3793564,1
10.044532,18.257135,15.833587,2.4235487,0
10.34141,18.225752,15.677932,2.54782,0
9.918425,18.05646,15.858234,2.198225,0
11.417972,18.135908,15.2355795,2.9003286,0
10.335636,16.799715,14.809473,1.990242,4
11.173547,17.438507,14.742932,2.6955748,0
9.836695,17.144075,15.57665,1.5674257,4
10.184908,16.996035,15.01242,1.9836149,4
10.072376,18.564682,16.175858,2.3888245,0
11.157916,17.619251,14.923193,2.6960583,1
10.128523,18.423904,16.187893,2.2360115,1
10.291143,18.246975,15.750938,2.4960365,1
10.474555,16.798643,14.440314,2.3583288,4
10.885232,17.901793,15.481385,2.4204073,4
9.640496,17.705908,16.491875,1.2140331,0
10.10441,17.56789,15.6554,1.9124899,4
10.480493,17.11697,15.099903,2.017067,0
11.345947,17.419827,14.778369,2.6414576,1
10.091374,17.985079,15.777285,2.2077942,4
9.737961,18.0519,16.35842,1.6934814,0
10.155927,19.029387,16.5117,2.5176868,4
10.446553,17.375301,15.474003,1.9012985,0
10.648841,16.784468,14.767914,2.0165539,4
11.187746,17.806818,15.062894,2.7439241,1
10.085023,17.738775,16.100088,1.6386871,4
10.068472,16.57514,14.939593,1.6355467,0
