OBJID,RA,DEC,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS
587739707944403119,209.8520816,27.95159993,0.0791975,0.81913584,0.07925939,-17.90995598,-19.96928596,-20.73087692,-21.0749836,-21.36985207,10.47696781,4.24131727,0.90200698,1.12E+00,-999,-9.99E+02
587739609176145945,216.1546149,28.68912609,0.0383935,1,0,-18.92993736,-20.6566124,-21.43151093,-21.82346725,-22.09853745,10.7029705,10.90676022,0.88398123,-9.99E-02,-999,-9.99E+02
587731890581078085,192.3958698,57.27093969,0.0545037,0.76957935,0.21497439,-19.31917572,-21.00513458,-21.76600266,-22.14706993,-22.39159012,10.85913277,8.23480892,0.6179924,-9.43E-01,29.83764839,3.42E+14
588017704000487542,171.2684364,12.41952329,0.0836387,0.82778823,0.13770616,-19.08438301,-20.99372101,-21.76573181,-22.13952255,-22.38369179,10.87171841,7.93302584,0.5973621,2.16E-01,7.68177891,5.48E+13
587732772662804530,174.7803836,10.77824045,0.0841598,0.03570528,0.68108618,-19.14780617,-20.05404282,-20.45885468,-20.51168442,-20.27657509,9.93676281,7.26360941,0.58180678,2.71E-01,0.51107734,1.91E+13
588013382188597467,129.0151309,35.07262956,0.0744738,0.02777778,0.97222221,-19.99758339,-21.57710457,-22.10902977,-22.3181324,-22.52699661,10.91789436,12.44731426,0.87725621,-6.2E-01,39.09833908,3.15E+13
588010136804720819,140.916507,54.62654023,0.048172,0.59920573,0.38287333,-18.61476326,-20.15641975,-20.88196373,-21.24032593,-21.48505211,10.47753525,6.92171001,0.45691913,2.12E-01,0.94128925,5.77E+13
587732050557599881,145.9483438,51.51575513,0.0525421,0.14842664,0.76984262,-19.27790642,-20.28550911,-20.71803665,-20.89401627,-21.09180832,10.02337646,6.55561543,0.67827898,-8.86E-01,27.48086739,1.23E+14
588011219682984264,241.7901077,47.73193828,0.0333313,0,1,-18.66641617,-20.23857498,-20.70701981,-20.89175415,-20.86189651,10.20088291,16.03972244,0.71550637,-1.1E+00,81.03736877,1.31E+14
588017712050733178,215.581688,47.935219,0.0729629,0.12506674,0.84560734,-19.91610909,-21.39944649,-22.07063293,-22.34194946,-22.53645515,10.95700932,10.78258419,0.8428582,9.67E-01,0.02879089,8.49E+13
587722982822772953,200.5231158,-0.25713129,0.0755792,0.76248848,0.16339228,-18.58585739,-20.14871407,-20.86102676,-21.16122818,-21.38836479,10.46238613,5.06323242,0.91394997,4.61E-01,2.11183,2.96E+13
587739608622628997,172.0110623,31.54479626,0.0746471,0.93956107,0.06043883,-18.90169716,-20.6610527,-21.4473362,-21.84025002,-22.14881706,10.76387787,6.33532953,0.62555599,-7.65E-01,17.99013519,4.1E+13
587729972328005689,226.803032,-0.95977819,0.044031,0.939394,0.03030303,-19.01411629,-20.15621185,-20.72411919,-21.0234375,-21.17697334,10.0113554,6.59600258,0.9051761,-1.2E+00,21.32979584,2.93E+13
587729388230869224,203.7466539,59.66071688,0.06981,0.59109724,0.31349459,-17.82418633,-19.61985779,-20.37257957,-20.72661781,-20.98088837,10.31833839,4.50894308,0.74515074,2.2E-01,0.42445913,1.06E+14
587732578843492540,152.7077684,6.77851278,0.0634473,0.28995737,0.50309873,-18.62758064,-19.68805122,-20.19292259,-20.42487144,-20.62857437,9.87316132,5.15889597,0.62199432,-3.81E-01,32.51769257,4.52E+14
587726031712157934,181.1302703,1.71197529,0.0779411,0.87651736,0.06624527,-18.39611816,-20.27821732,-21.04402161,-21.38386345,-21.69817734,10.57243633,4.88436651,0.72248715,-1.99E-01,11.62165928,6.87E+12
587727223557521596,351.6848207,15.7149562,0.0457725,0.41223103,0.54211932,-18.88229752,-19.97068214,-20.57615471,-20.90398598,-21.03608513,10.31166458,11.23626137,0.76873755,3.74E-01,5.34991646,3.09E+13
587727220873560249,352.7423493,13.64160337,0.0639811,0.30769229,0.69230771,-18.72901344,-20.43356895,-21.22942543,-21.60960579,-21.9083004,10.63725376,4.39364672,0.38649651,-1.54E-01,78.24282074,8.4E+14
588017603608969345,179.7720934,43.94393713,0.0714762,0.12105665,0.69940144,-18.97126389,-20.20063972,-20.72306824,-20.92772293,-21.18855476,10.18616867,6.24276638,0.61414969,-8.3E-02,3.13989139,1.04E+14
588015509291663409,50.94312407,0.03053626,0.0357229,0.46153918,0.53846085,-19.21426582,-20.9899826,-21.74175262,-22.08807755,-22.32081413,10.85443211,13.46015644,0.56572002,6.88E-01,7.02715254,5.07E+13
588017570313928792,196.7817542,11.84374691,0.0824099,0.66343105,0.17546399,-18.05980301,-19.60822487,-20.37499809,-20.70661163,-20.95356941,10.27922535,3.55375242,0.6963557,7.36E-01,25.84558487,1.17E+14
588017604693917754,214.3946027,40.90861477,0.068427,0.87476176,0.08173967,-18.37387466,-19.9283905,-20.67474174,-21.02474403,-21.29056931,10.40949154,5.09840202,0.79916078,-6.14E-01,27.35141754,6.1E+14
587731186733023424,342.3089588,0.38861955,0.0569471,0.10366233,0.82206613,-19.16496086,-20.19997978,-20.60930252,-20.72162056,-20.77947807,10.02537346,6.08833838,0.65278649,-7.86E-01,14.16559219,3.58E+13
587726031177187497,185.510132,1.39499287,0.0810324,0.91300231,0.08699762,-19.68449593,-21.45458603,-22.25500488,-22.63054276,-22.90328789,11.08188534,8.80694771,0.75485367,1.12E+00,13.72703075,6.63E+14
587732703405408498,166.3382155,7.77120432,0.0699879,0.24340135,0.71419185,-19.32231712,-20.42062569,-21.05784225,-21.38087273,-21.65329933,10.41502666,6.08984518,0.49675262,1.89E-01,8.77380466,8.88E+13
587739096450203759,178.1075257,36.27390717,0.0631692,0.02442242,0.97557765,-18.92455101,-21.0073967,-21.87690735,-22.28826332,-22.6258812,10.96033859,13.57549191,0.23738542,2.34E-01,43.02829742,1.35E+13
587741600414957620,168.3759426,25.35677413,0.0697105,0.11909135,0.88090861,-19.04573631,-20.58997154,-21.32519341,-21.66781425,-21.98234367,10.65834904,8.22886562,0.36970717,-9.45E-01,-999,-9.99E+02
588017625079611525,178.6784024,43.70330522,0.0499218,0.0694885,0.75987917,-18.55491257,-19.86944199,-20.35007668,-20.43657684,-20.72010231,10.10666275,9.2178421,0.76383567,-6.25E-01,21.46283722,4.24E+13
588017702410649602,219.4587995,9.37990016,0.0514346,0.01354088,0.31207439,-19.850914,-20.73044205,-21.15026665,-21.32525063,-21.34643173,10.06069183,11.80529404,0.6487363,-9.73E-02,4.90501404,1.61E+13
587735428547936368,211.684301,45.59403627,0.0625076,0.0373035,0.96269649,-19.22428131,-20.55819321,-21.16656685,-21.43610382,-21.65308189,10.51144314,10.45502853,0.33295345,-6.47E-01,11.02387905,2.63E+14
587727223015473392,339.5040503,14.29894808,0.0838975,0.969697,0,-20.20221138,-22.04627419,-22.78652954,-23.15553474,-23.38676262,11.26940918,12.08528519,0.90459716,3.46E-01,22.37858582,1.96E+14
