Rk,Player,Pos,Age,Tm,G,MP,FGP,Distance,2P,0-3,3-10,10-16,16-3P,3P,3PA,2PA,FGA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
30,Cat Barber,PG,27,ATL,3,13,0,9.6,0,0,,,0,,0,4,4,0,4,0,1,2,3,3,0,0,1,1,0
31,Harrison Barnes,PF,29,SAC,77,2580,0.469,13.5,0.525,0.682,0.403,0.471,0.5,0.394,360,474,834,341,413,0.826,82,350,432,186,53,14,118,94,1265
32,Scottie Barnes,PF,20,TOR,74,2617,0.492,10.9,0.543,0.711,0.502,0.398,0.378,0.301,193,739,932,158,215,0.735,195,362,557,256,80,55,136,192,1134
33,RJ Barrett,SF,21,NYK,70,2417,0.408,12,0.442,0.596,0.307,0.309,0.3,0.342,404,790,1194,290,406,0.714,66,342,408,208,43,16,151,142,1402
34,Will Barton,SG,31,DEN,71,2277,0.438,16,0.504,0.701,0.398,0.433,0.359,0.365,430,466,896,102,127,0.803,44,296,340,276,55,31,127,114,1043
35,Paris Bass,SF,26,PHO,2,7,0.333,11.7,0.5,1,0,,,0,2,4,6,2,2,1,2,2,4,0,1,0,2,2,6
36,Charles Bassey,C,21,PHI,23,168,0.638,5.6,0.698,0.741,0.7,0.6,0,0,4,43,47,9,12,0.75,22,40,62,7,5,17,8,32,69
37,Keita Bates-Diop,SF,26,SAS,59,957,0.517,8.4,0.572,0.682,0.385,0.5,0.25,0.309,55,208,263,46,61,0.754,62,169,231,41,27,14,45,61,335
38,Nicolas Batum,PF,33,LAC,59,1463,0.463,20.2,0.607,0.809,0.412,0.636,0.387,0.4,270,117,387,25,38,0.658,29,225,254,100,58,42,40,80,491
39,Kent Bazemore,SF,32,LAL,39,545,0.324,18.1,0.271,0.333,0.308,0.125,0.214,0.363,80,59,139,13,17,0.765,13,56,69,34,25,9,21,70,132
40,Darius Bazley,PF,21,OKC,69,1924,0.422,12.7,0.511,0.613,0.405,0.571,0.182,0.297,269,380,649,117,170,0.688,71,365,436,97,58,70,90,68,745
41,Bradley Beal,SG,28,WAS,40,1439,0.451,13.1,0.508,0.697,0.407,0.47,0.458,0.3,210,561,771,169,203,0.833,38,151,189,265,36,15,135,95,928
42,Malik Beasley,SG,25,MIN,79,1976,0.391,20.8,0.432,0.587,0.357,0.341,0.342,0.377,637,213,850,49,60,0.817,26,201,227,116,43,12,43,88,953
43,Jordan Bell,C,27,CHI,1,2,,,,,,,,,0,0,0,0,0,,1,0,1,0,1,0,0,2,0
44,DeAndre' Bembry,SF,27,TOT,56,1026,0.561,6.2,0.589,0.667,0.418,,0,0.417,36,185,221,21,35,0.6,42,121,163,66,49,25,31,113,284
44,DeAndre' Bembry,SF,27,BRK,48,949,0.568,6.2,0.599,0.68,0.418,,,0.417,36,177,213,21,35,0.6,38,114,152,60,47,25,30,104,278
44,DeAndre' Bembry,SF,27,MIL,8,77,0.375,4.4,0.375,0.429,,,0,,0,8,8,0,0,,4,7,11,6,2,0,1,9,6
45,Dāvis Bertāns,PF,29,TOT,56,806,0.36,23,0.489,0.611,0.421,0,0.75,0.335,230,45,275,36,40,0.9,12,105,117,31,17,12,19,85,311
45,Dāvis Bertāns,PF,29,WAS,34,501,0.351,23.6,0.519,0.667,0.545,0,0.667,0.319,144,27,171,28,30,0.933,6,55,61,16,11,6,14,55,194
45,Dāvis Bertāns,PF,29,DAL,22,306,0.375,22.1,0.444,0.556,0.25,,1,0.36,86,18,104,8,10,0.8,6,50,56,15,6,6,5,30,117
46,Patrick Beverley,PG,33,MIN,58,1476,0.406,16.6,0.485,0.568,0.433,0.545,0.125,0.343,242,194,436,96,133,0.722,62,178,240,268,67,52,73,174,533
47,Saddiq Bey,SF,22,DET,82,2704,0.396,17.4,0.454,0.619,0.348,0.329,0.429,0.346,610,526,1136,210,254,0.827,107,334,441,233,73,16,96,128,1321
48,Khem Birch,C,29,TOR,55,991,0.485,6.4,0.522,0.593,0.5,0.406,0,0,14,186,200,53,71,0.746,122,117,239,56,30,26,29,104,247
49,Goga Bitadze,C,22,IND,50,729,0.52,10.4,0.628,0.737,0.409,0.375,0,0.288,80,172,252,64,94,0.681,79,98,177,55,21,42,46,107,349
50,Bismack Biyombo,C,29,PHO,36,506,0.593,4.3,0.593,0.747,0.474,0.25,0,,0,145,145,38,71,0.535,63,104,167,23,12,26,25,70,210
51,Nemanja Bjelica,C,33,GSW,71,1143,0.468,14.1,0.549,0.674,0.438,0.5,0.429,0.362,149,193,342,59,81,0.728,62,232,294,159,41,26,87,128,433
52,Eric Bledsoe,PG,32,LAC,54,1361,0.421,14.2,0.479,0.611,0.462,0.44,0.286,0.313,163,305,468,89,117,0.761,28,154,182,225,69,19,116,85,534
53,Keljin Blevins,SF,26,POR,31,349,0.306,18.4,0.333,0.391,0.286,0,0.333,0.292,72,39,111,6,11,0.545,16,29,45,19,13,1,17,29,95
54,Bogdan Bogdanović,SG,29,ATL,63,1848,0.431,18.6,0.516,0.622,0.44,0.523,0.471,0.368,459,335,794,97,115,0.843,29,221,250,194,68,14,70,132,950
55,Bojan Bogdanović,PF,32,UTA,69,2131,0.455,15.6,0.524,0.684,0.483,0.41,0.286,0.387,468,460,928,223,260,0.858,58,238,296,120,34,1,118,116,1248
56,Bol Bol,PF,22,DEN,14,81,0.556,10.6,0.609,0.875,0.8,0.375,0,0.25,4,23,27,2,5,0.4,4,16,20,5,1,2,4,4,33
57,Leandro Bolmaro,SF,21,MIN,35,241,0.315,13.7,0.333,0.474,0.167,0.5,0,0.278,18,36,54,11,13,0.846,16,27,43,21,6,0,13,26,50
58,Isaac Bonga,SF,22,TOR,15,69,0.231,11,0.222,0.2,0.333,,0,0.25,4,9,13,5,8,0.625,4,3,7,4,8,2,2,10,12
59,Devin Booker,SG,25,PHO,68,2345,0.466,16.1,0.508,0.694,0.476,0.469,0.469,0.383,478,943,1421,315,363,0.868,45,297,342,329,77,26,162,180,1822
60,Brandon Boston Jr.,SG,20,LAC,51,760,0.385,14.7,0.425,0.631,0.122,0.45,0.306,0.306,111,214,325,59,72,0.819,17,94,111,51,26,13,31,43,343
61,Chris Boucher,SF,29,TOR,80,1690,0.464,12.1,0.575,0.661,0.4,0.4,0.2,0.297,229,348,577,150,193,0.777,179,315,494,25,49,75,42,174,754
62,James Bouknight,SG,21,CHO,31,304,0.348,12,0.348,0.553,0.147,0,0.2,0.347,49,92,141,27,31,0.871,22,30,52,26,7,1,15,29,142
63,Avery Bradley,SG,31,LAL,62,1406,0.423,18.1,0.471,0.604,0.281,0.483,0.452,0.39,210,140,350,16,18,0.889,31,105,136,47,53,9,38,118,394
64,Tony Bradley,C,24,CHI,55,549,0.585,3.9,0.585,0.649,0.484,0.375,0.571,,0,123,123,19,29,0.655,67,119,186,27,10,33,34,62,163
65,Ignas Brazdeikis,SF,23,ORL,42,536,0.431,14,0.535,0.636,0.421,0.2,0.667,0.31,87,101,188,21,32,0.656,23,49,72,37,10,3,17,48,210
66,Mikal Bridges,SF,25,PHO,82,2854,0.534,13.3,0.628,0.795,0.619,0.507,0.256,0.369,312,546,858,131,157,0.834,74,273,347,185,96,36,68,150,1162
67,Miles Bridges,PF,23,CHO,80,2837,0.491,12.4,0.59,0.723,0.412,0.458,0.343,0.331,465,749,1214,267,333,0.802,90,469,559,300,74,67,150,193,1613
68,Oshae Brissett,SF,23,IND,67,1564,0.411,13.9,0.465,0.582,0.299,0.167,0.267,0.35,237,269,506,114,164,0.695,108,250,358,72,44,29,54,116,613
69,Malcolm Brogdon,PG,29,IND,36,1206,0.448,13.2,0.518,0.632,0.452,0.411,0.405,0.312,186,357,543,143,167,0.856,33,152,185,212,30,14,77,71,687
70,Armoni Brooks,SG-PG,23,TOT,54,844,0.339,23.4,0.6,0.708,0.6,0,0.333,0.297,249,40,289,18,21,0.857,20,83,103,62,28,11,27,74,288
70,Armoni Brooks,SG,23,HOU,41,690,0.347,23.2,0.605,0.739,0.556,0,0.333,0.3,213,38,251,16,19,0.842,12,69,81,49,21,8,23,60,254
70,Armoni Brooks,PG,23,TOR,13,154,0.289,24.7,0.5,0,1,,,0.278,36,2,38,2,2,1,8,14,22,13,7,3,4,14,34
71,Dillon Brooks,SF,26,MEM,32,885,0.432,13.3,0.48,0.68,0.389,0.398,0.467,0.309,149,377,526,90,106,0.849,29,73,102,88,36,8,50,105,590
72,Bruce Brown,SF,25,BRK,72,1774,0.506,8.4,0.529,0.693,0.379,0.404,0.125,0.404,94,412,506,97,128,0.758,100,245,345,148,77,52,56,176,647
73,Charlie Brown Jr.,SG,24,TOT,22,178,0.256,11,0.333,0.467,0.25,0,0,0.083,12,27,39,9,10,0.9,14,18,32,6,10,4,5,18,30
73,Charlie Brown Jr.,SG,24,DAL,3,15,0.2,17.2,0.5,1,,0,,0,3,2,5,0,0,,0,1,1,1,2,1,0,2,2
73,Charlie Brown Jr.,SG,24,PHI,19,162,0.265,10,0.32,0.429,0.25,0,0,0.111,9,25,34,9,10,0.9,14,17,31,5,8,3,5,16,28
74,Chaundee Brown Jr.,SG-SF,23,TOT,5,104,0.313,17.9,0.286,0.5,0,0.2,,0.333,18,14,32,5,6,0.833,1,15,16,4,2,0,1,7,31
74,Chaundee Brown Jr.,SF,23,LAL,2,21,0.143,13.2,0.25,0.5,0,0,,0,3,4,7,0,0,,0,2,2,0,0,0,1,0,2
74,Chaundee Brown Jr.,SG,23,ATL,3,83,0.36,19.2,0.3,0.5,0,0.25,,0.4,15,10,25,5,6,0.833,1,13,14,4,2,0,0,7,29
75,Greg Brown III,SF,20,POR,48,640,0.426,10.7,0.481,0.635,0.2,0.333,0.091,0.311,61,129,190,44,65,0.677,38,97,135,35,26,24,36,90,225
76,Jaylen Brown,SF,25,BOS,66,2220,0.473,14.5,0.544,0.765,0.425,0.474,0.441,0.358,464,753,1217,241,318,0.758,53,351,404,231,70,18,178,163,1559
77,Moses Brown,C,22,TOT,40,344,0.593,2.5,0.593,0.642,0.48,0,0,,0,108,108,43,72,0.597,39,96,135,1,7,16,20,53,171
77,Moses Brown,C,22,DAL,26,169,0.54,2.3,0.54,0.59,0.4,0,,,0,50,50,27,43,0.628,16,45,61,1,3,9,14,28,81
77,Moses Brown,C,22,CLE,14,176,0.638,2.6,0.638,0.69,0.533,,0,,0,58,58,16,29,0.552,23,51,74,0,4,7,6,25,90
78,Sterling Brown,SG,26,DAL,49,628,0.381,17.1,0.492,0.625,0.278,0.333,0.571,0.304,92,63,155,14,15,0.933,26,123,149,34,14,7,23,56,160
79,Troy Brown Jr.,SF,22,CHI,66,1055,0.419,15,0.488,0.562,0.412,0.143,0.455,0.353,133,125,258,20,26,0.769,39,164,203,66,36,5,26,62,283
80,Jalen Brunson,SG,25,DAL,79,2524,0.502,13.1,0.545,0.703,0.524,0.518,0.449,0.373,252,756,1008,179,213,0.84,43,266,309,377,66,3,124,151,1285
81,Thomas Bryant,C,24,WAS,27,439,0.52,11.5,0.613,0.754,0.48,0.2,0.474,0.286,42,106,148,35,40,0.875,26,82,108,23,6,21,19,43,201
82,Shaq Buchanan,SG,25,MEM,2,10,0.25,13.6,0.5,0.5,,,,0,2,2,4,0,0,,1,1,2,2,1,0,2,1,2
83,Reggie Bullock,SF,30,DAL,68,1902,0.401,20.9,0.55,0.688,0.292,0.688,0.429,0.36,392,109,501,40,48,0.833,33,208,241,83,41,14,40,111,583
84,Trey Burke,PG,29,DAL,42,441,0.391,17,0.436,0.714,0.429,0.444,0.32,0.317,82,133,215,20,23,0.87,4,29,33,57,12,0,26,39,214
85,Alec Burks,SG,30,NYK,81,2318,0.391,17.4,0.378,0.444,0.342,0.358,0.375,0.404,389,339,728,217,264,0.822,47,350,397,239,85,26,91,215,944
86,Jared Butler,SG,21,UTA,42,360,0.404,18.4,0.524,0.6,0.429,0.6,0.75,0.318,88,63,151,11,16,0.688,5,40,45,63,17,8,33,47,161
87,Jimmy Butler,SF,32,MIA,57,1931,0.48,9.6,0.52,0.701,0.415,0.457,0.339,0.233,116,713,829,396,455,0.87,102,234,336,312,94,27,121,88,1219
88,Devontae Cacok,PF,25,SAS,15,121,0.677,4.6,0.677,0.833,0.533,0.75,,,0,31,31,4,7,0.571,8,34,42,6,8,7,3,16,46
89,Kentavious Caldwell-Pope,SG,28,WAS,77,2329,0.435,18.1,0.48,0.678,0.361,0.43,0.469,0.39,408,421,829,137,154,0.89,41,220,261,145,83,26,97,139,1018
90,Facundo Campazzo,PG,30,DEN,65,1184,0.361,19.4,0.476,0.614,0.381,0.25,0.6,0.301,193,103,296,60,78,0.769,23,94,117,220,63,23,67,124,332
91,Vlatko Čančar,PF,24,DEN,15,176,0.561,10.6,0.552,0.75,0.375,0.25,0,0.583,12,29,41,9,14,0.643,8,23,31,17,2,3,9,18,62
92,Devin Cannady,PG,25,ORL,5,145,0.341,22.5,0,0,0,0,0,0.405,37,7,44,5,7,0.714,1,5,6,10,5,3,5,9,50
93,Clint Capela,C,27,ATL,74,2042,0.613,2.2,0.614,0.684,0.382,0.5,0,0,1,603,604,80,169,0.473,279,598,877,92,55,93,44,166,820
94,Vernon Carey Jr.,C,20,TOT,7,44,0.538,8.2,0.538,0.75,,0,0.25,,0,13,13,6,13,0.462,8,4,12,0,2,1,3,4,20
94,Vernon Carey Jr.,C,20,CHO,4,17,0.5,7.6,0.5,0.75,,,0,,0,6,6,2,3,0.667,3,2,5,0,1,0,1,1,8
94,Vernon Carey Jr.,C,20,WAS,3,27,0.571,8.6,0.571,0.75,,0,0.5,,0,7,7,4,10,0.4,5,2,7,0,1,1,2,3,12
95,Jevon Carter,PG,26,TOT,66,905,0.387,21.2,0.386,0.429,0.273,0.471,0.366,0.388,170,83,253,15,18,0.833,14,96,110,96,24,14,34,67,277
95,Jevon Carter,PG,26,BRK,46,552,0.333,22.2,0.34,0.143,0.25,0.4,0.385,0.331,127,47,174,7,10,0.7,9,58,67,46,14,10,26,45,165
95,Jevon Carter,PG,26,MIL,20,353,0.506,18.9,0.444,0.714,0.286,0.571,0.333,0.558,43,36,79,8,8,1,5,38,43,50,10,4,8,22,112
96,Wendell Carter Jr.,PF,22,ORL,62,1852,0.525,12.1,0.615,0.781,0.457,0.478,0.462,0.327,214,470,684,143,207,0.691,139,509,648,171,36,43,117,169,931
97,Alex Caruso,SG,27,CHI,41,1147,0.398,15.4,0.462,0.591,0.324,0.364,0.313,0.333,126,130,256,58,73,0.795,33,115,148,165,71,15,57,106,304
98,Willie Cauley-Stein,C,28,TOT,20,183,0.457,5.3,0.455,0.545,0.143,1,0,0.5,2,33,35,1,2,0.5,13,27,40,10,6,3,7,19,34
98,Willie Cauley-Stein,C,28,DAL,18,177,0.457,5.3,0.455,0.545,0.143,1,0,0.5,2,33,35,1,2,0.5,13,25,38,9,6,3,7,17,34
98,Willie Cauley-Stein,C,28,PHI,2,6,,,,,,,,,0,0,0,0,0,,0,2,2,1,0,0,0,2,0
99,Ahmad Caver,SG,25,IND,1,1,1,1.8,1,1,,,,,0,1,1,0,0,,0,0,0,0,0,0,0,0,2
100,Justin Champagnie,SF,20,TOR,36,281,0.463,11.7,0.538,0.625,0.429,0,,0.357,28,39,67,9,9,1,37,35,72,11,8,4,8,32,81
101,Zylan Cheatham,SF,26,UTA,1,5,0,17.2,0,0,,,,0,2,1,3,0,0,,0,0,0,0,0,0,0,0,0
102,Chris Chiozza,PG,26,GSW,34,372,0.296,19.4,0.25,0.222,0.273,0,0.5,0.321,53,28,81,2,3,0.667,9,27,36,65,13,0,32,32,67
103,Marquese Chriss,PF,24,DAL,34,346,0.463,7.8,0.495,0.592,0.265,1,0.5,0.32,25,109,134,22,33,0.667,33,70,103,17,13,12,17,64,154
104,Josh Christopher,SG,20,HOU,74,1334,0.448,13.3,0.54,0.647,0.532,0.333,0.2,0.296,189,311,500,83,113,0.735,52,134,186,150,65,13,114,97,587
105,Gary Clark,PF,27,NOP,38,378,0.375,20.1,0.278,0.125,0.444,0,,0.4,70,18,88,7,10,0.7,23,67,90,18,13,7,10,20,101
106,Brandon Clarke,PF,25,MEM,64,1246,0.644,5.4,0.666,0.775,0.568,0.462,0.571,0.227,22,425,447,85,130,0.654,135,207,342,86,39,68,34,122,666
107,Jordan Clarkson,SG,29,UTA,79,2141,0.419,16.9,0.535,0.627,0.515,0.554,0.25,0.318,597,516,1113,144,174,0.828,67,206,273,194,66,16,129,149,1266
108,Nic Claxton,C,22,BRK,47,974,0.674,2.5,0.674,0.815,0.347,0.4,,,0,264,264,54,93,0.581,91,173,264,43,24,51,38,110,410
109,Amir Coffey,SG,24,LAC,69,1567,0.453,16.8,0.542,0.779,0.449,0.417,0.238,0.378,254,212,466,101,117,0.863,26,171,197,124,38,15,45,87,619
110,John Collins,PF,24,ATL,54,1663,0.526,11,0.588,0.753,0.463,0.439,0.4,0.364,176,468,644,134,169,0.793,93,329,422,98,33,56,60,164,876
111,Zach Collins,C,24,SAS,28,502,0.49,11,0.544,0.756,0.347,0.5,0.6,0.341,41,114,155,52,65,0.8,46,107,153,61,13,23,45,67,218
112,Darren Collison,PG,34,LAL,3,37,0.286,16.1,0.5,1,,,0,0,3,4,7,0,0,,0,4,4,2,1,0,1,5,4
113,Mike Conley,PG,34,UTA,72,2058,0.435,17.1,0.464,0.559,0.453,0.442,0.4,0.408,414,377,791,129,162,0.796,47,170,217,385,96,21,123,142,986
114,Pat Connaughton,SF,29,MIL,65,1691,0.458,20.2,0.643,0.725,0.5,0.636,0,0.395,370,126,496,45,54,0.833,45,228,273,82,59,15,35,86,645
115,Tyler Cook,PF,24,CHI,20,200,0.605,2.2,0.605,0.692,0.417,,,,0,38,38,21,32,0.656,16,37,53,3,4,4,7,28,67
116,Sharife Cooper,PG,20,ATL,13,39,0.214,11.6,0.25,0.143,1,,,0.167,6,8,14,0,0,,0,5,5,5,0,0,5,1,7
117,Petr Cornelie,PF,26,DEN,13,38,0.333,15.9,0.571,0.6,1,,0,0.125,8,7,15,3,4,0.75,7,7,14,3,1,1,4,7,14
118,DeMarcus Cousins,C,31,TOT,48,717,0.46,12.1,0.554,0.65,0.452,0.2,0.286,0.303,122,202,324,95,125,0.76,74,196,270,71,35,21,85,139,430
118,DeMarcus Cousins,C,31,MIL,17,287,0.466,12.2,0.6,0.674,0.5,0,0,0.271,48,70,118,31,38,0.816,24,74,98,18,16,8,16,46,154
118,DeMarcus Cousins,C,31,DEN,31,431,0.456,12,0.53,0.634,0.431,0.25,0.333,0.324,74,132,206,64,87,0.736,50,122,172,53,19,13,69,93,276
119,Robert Covington,PF,31,TOT,71,1939,0.42,18.8,0.509,0.659,0.333,0.273,0.444,0.378,339,159,498,58,69,0.841,59,332,391,92,103,91,75,190,604
119,Robert Covington,PF,31,POR,48,1431,0.381,18.9,0.462,0.6,0.324,0.286,0.286,0.343,230,106,336,30,36,0.833,41,233,274,68,74,63,58,132,365
119,Robert Covington,PF,31,LAC,23,509,0.5,18.7,0.604,0.767,0.353,0.25,1,0.45,109,53,162,28,33,0.848,18,99,117,24,29,28,17,58,239
120,Torrey Craig,SF,31,TOT,78,1596,0.454,16,0.594,0.725,0.532,0.4,0.333,0.329,234,207,441,39,52,0.75,86,224,310,91,46,36,67,151,516
120,Torrey Craig,SF,31,IND,51,1034,0.456,15.2,0.573,0.712,0.5,0.375,0.313,0.333,138,143,281,27,35,0.771,59,136,195,58,24,19,39,95,329
120,Torrey Craig,SF,31,PHO,27,562,0.45,17.2,0.641,0.759,0.583,0.444,0.5,0.323,96,64,160,12,17,0.706,27,88,115,33,22,17,28,56,187
121,Jae Crowder,PF,31,PHO,67,1886,0.399,20.8,0.503,0.656,0.431,0.488,0.491,0.348,365,179,544,71,90,0.789,30,324,354,124,95,30,55,173,632
122,Jarrett Culver,SG,22,MEM,37,338,0.378,13.5,0.443,0.543,0.346,0.364,0.438,0.255,47,88,135,16,34,0.471,13,35,48,33,20,5,20,42,130
123,Jarron Cumberland,SG,24,POR,3,12,0.5,15.8,1,1,,,,0,1,1,2,0,0,,1,2,3,1,0,0,0,2,2
124,Cade Cunningham,SG,20,DET,64,2088,0.416,13.8,0.472,0.588,0.432,0.431,0.324,0.314,363,668,1031,142,168,0.845,58,296,354,356,78,43,234,200,1114
125,Seth Curry,SG,31,TOT,64,2134,0.487,19.4,0.553,0.692,0.568,0.51,0.539,0.422,374,365,739,82,94,0.872,21,179,200,230,53,14,109,148,960
125,Seth Curry,SG,31,PHI,45,1566,0.485,19.1,0.561,0.69,0.552,0.548,0.542,0.4,250,278,528,64,73,0.877,17,134,151,181,36,11,84,101,676
125,Seth Curry,SG,31,BRK,19,569,0.493,20.2,0.529,0.7,0.625,0.4,0.528,0.468,124,87,211,18,21,0.857,4,45,49,49,17,3,25,47,284
126,Stephen Curry,PG,33,GSW,64,2211,0.437,19.8,0.527,0.599,0.53,0.513,0.414,0.38,750,474,1224,275,298,0.923,34,301,335,404,85,23,206,130,1630
127,Anthony Davis,C,28,LAL,40,1404,0.532,9.6,0.571,0.793,0.485,0.317,0.413,0.186,70,625,695,174,244,0.713,106,288,394,122,49,90,82,97,927
128,Ed Davis,C,32,CLE,31,201,0.688,2.3,0.688,0.75,0.5,,,,0,16,16,6,14,0.429,14,50,64,7,3,9,5,33,28
129,Terence Davis,SG,24,SAC,30,536,0.423,16.3,0.542,0.712,0.357,0.333,0.5,0.329,149,118,267,36,44,0.818,11,83,94,40,25,11,33,70,311
130,Gabriel Deck,PF,26,OKC,7,56,0.571,11.9,0.6,0.6,1,0.667,0,0.5,4,10,14,0,0,,1,5,6,5,1,0,2,2,18
131,Dewayne Dedmon,C,32,MIA,67,1065,0.566,8.2,0.597,0.695,0.53,0.45,0.25,0.404,47,243,290,75,100,0.75,105,281,386,47,24,42,70,174,422
132,Sam Dekker,PF,27,TOR,1,1,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
133,Javin DeLaurier,C,23,MIL,1,3,,,,,,,,,0,0,0,0,0,,0,1,1,0,1,0,0,1,0
134,DeMar DeRozan,PF,32,CHI,76,2743,0.504,13,0.52,0.671,0.494,0.511,0.457,0.352,142,1393,1535,520,593,0.877,56,336,392,374,68,24,181,178,2118
135,Mamadi Diakite,PF,25,OKC,13,188,0.532,6.8,0.595,0.6,0.688,0.4,0,0,5,42,47,6,11,0.545,17,42,59,2,5,9,7,33,56
136,Cheick Diallo,C,25,DET,3,31,0.375,3.1,0.375,0.667,0.2,,,,0,8,8,5,6,0.833,4,8,12,0,1,0,1,6,11
137,Hamidou Diallo,SG,23,DET,58,1269,0.496,9.5,0.55,0.691,0.5,0.391,0.361,0.247,93,433,526,91,140,0.65,69,208,277,73,71,17,58,143,636
138,Gorgui Dieng,C,32,ATL,44,371,0.473,19.2,0.545,0.733,0.375,0.6,0.364,0.426,68,44,112,19,26,0.731,32,89,121,34,11,13,20,52,154
139,Spencer Dinwiddie,PG,28,TOT,67,1980,0.416,15.6,0.479,0.643,0.402,0.446,0.324,0.339,330,405,735,195,252,0.774,45,234,279,346,44,13,104,150,919
139,Spencer Dinwiddie,PG,28,WAS,44,1330,0.376,16.2,0.432,0.573,0.388,0.378,0.333,0.31,226,266,492,116,143,0.811,36,171,207,256,27,7,73,107,556
139,Spencer Dinwiddie,PG,28,DAL,23,650,0.498,14.2,0.568,0.741,0.431,0.6,0.286,0.404,104,139,243,79,109,0.725,9,63,72,90,17,6,31,43,363
140,Donte DiVincenzo,SG,25,TOT,42,1005,0.351,18.6,0.373,0.538,0.239,0.444,0.091,0.339,218,118,336,70,83,0.843,40,130,170,118,48,8,72,69,380
140,Donte DiVincenzo,SG,25,MIL,17,341,0.331,17.9,0.409,0.52,0.308,0.5,0,0.284,74,44,118,23,27,0.852,18,42,60,29,11,3,28,26,122
140,Donte DiVincenzo,SG,25,SAC,25,665,0.362,19,0.351,0.556,0.212,0.429,0.143,0.368,144,74,218,47,56,0.839,22,88,110,89,37,5,44,43,258
141,Luka Dončić,PG,22,DAL,65,2301,0.457,15.9,0.528,0.778,0.499,0.44,0.356,0.353,569,834,1403,364,489,0.744,56,537,593,568,75,36,292,145,1847
142,Luguentz Dort,SG,22,OKC,51,1665,0.404,16.4,0.487,0.615,0.419,0.238,0.348,0.332,391,335,726,161,191,0.843,38,174,212,88,46,18,88,149,877
143,Ayo Dosunmu,SG,22,CHI,77,2110,0.52,12.3,0.596,0.701,0.377,0.481,0.564,0.376,186,349,535,53,78,0.679,27,187,214,256,60,29,108,182,679
144,Damyean Dotson,SG,27,NYK,2,21,0.5,11.3,0.667,1,0,1,,0,1,3,4,0,0,,0,2,2,1,0,0,0,0,4
145,Devon Dotson,PG,22,CHI,11,85,0.478,12.2,0.643,0.818,,0,,0.222,9,14,23,5,9,0.556,1,8,9,15,1,0,5,11,29
146,Sekou Doumbouya,PF,21,LAL,2,16,0.625,8.9,0.667,1,0,,,0.5,2,6,8,3,4,0.75,2,4,6,0,3,2,2,1,14
147,Jeff Dowtin,PG,24,TOT,9,108,0.308,14.8,0.412,0.667,0.333,0.2,0.667,0.111,9,17,26,2,2,1,8,10,18,10,5,1,5,5,19
147,Jeff Dowtin,PG,24,GSW,4,28,0.5,13.8,0.6,,0.5,1,0.5,0,1,5,6,0,0,,1,6,7,3,0,1,1,2,6
147,Jeff Dowtin,PG,24,MIL,1,3,0,23.4,,,,,,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0
147,Jeff Dowtin,PG,24,ORL,4,77,0.263,14.6,0.333,0.667,0.25,0,1,0.143,7,12,19,2,2,1,7,4,11,7,5,0,4,3,13
148,PJ Dozier,SG,25,DEN,18,340,0.364,17.2,0.412,0.714,0.143,0.5,0.333,0.313,48,51,99,10,13,0.769,14,49,63,29,11,6,13,33,97
149,Goran Dragić,PG,35,TOT,21,497,0.377,15.2,0.466,0.621,0.538,0.28,0.25,0.254,63,88,151,27,33,0.818,13,52,65,86,19,4,34,45,157
149,Goran Dragić,PG,35,TOR,5,90,0.382,15.3,0.45,0.571,0.4,0.375,,0.286,14,20,34,10,10,1,2,12,14,9,5,1,1,8,40
149,Goran Dragić,PG,35,BRK,16,408,0.376,15.2,0.471,0.636,0.571,0.235,0.25,0.245,49,68,117,17,23,0.739,11,40,51,77,14,3,33,37,117
150,Andre Drummond,C,28,TOT,73,1437,0.57,2.8,0.574,0.641,0.434,0.222,0,0,3,430,433,86,164,0.524,229,451,680,131,78,68,115,192,580
150,Andre Drummond,C,28,PHI,49,902,0.538,2.7,0.542,0.643,0.286,0.4,,0,2,236,238,42,82,0.512,136,297,433,97,56,45,79,121,298
150,Andre Drummond,C,28,BRK,24,535,0.61,3,0.613,0.638,0.62,0,0,0,1,194,195,44,82,0.537,93,154,247,34,22,23,36,71,282
151,Chris Duarte,SG,24,IND,55,1541,0.432,15.5,0.475,0.627,0.369,0.38,0.453,0.369,255,366,621,90,112,0.804,41,185,226,114,56,10,90,95,720
152,David Duke Jr.,PG,22,BRK,22,341,0.361,10.6,0.423,0.5,0.214,0,0.5,0.243,37,71,108,17,21,0.81,30,37,67,17,14,7,9,36,104
153,Kris Dunn,PG,27,POR,14,336,0.431,9.1,0.473,0.607,0.405,0.455,0.4,0.091,11,91,102,17,18,0.944,9,40,49,79,23,3,32,38,106
154,Kevin Durant,PF,33,BRK,55,2047,0.518,15.1,0.568,0.744,0.516,0.528,0.575,0.383,300,815,1115,372,409,0.91,29,378,407,351,48,52,191,113,1643
155,Jaime Echenique,C,24,WAS,1,3,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
156,Anthony Edwards,SG,20,MIN,72,2466,0.441,15.2,0.519,0.658,0.356,0.338,0.359,0.357,602,643,1245,220,280,0.786,62,281,343,275,105,46,190,164,1533
