Rk,Player,Pos,Age,Tm,G,MP,FGP,Distance,2P,0-3,3-10,10-16,16-3P,3P,3PA,2PA,FGA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
544,Obi Toppin,PF,23,NYK,72,1230,0.531,10.5,0.655,0.728,0.392,0.375,0.333,0.308,169,304,473,94,124,0.758,69,199,268,77,25,33,56,102,648
545,Juan Toscano-Anderson,SF,28,GSW,73,994,0.489,11.7,0.588,0.662,0.538,0,0.333,0.322,87,148,235,40,70,0.571,28,148,176,127,48,17,68,115,298
546,Karl-Anthony Towns,C,26,MIN,74,2476,0.529,11.5,0.58,0.688,0.537,0.35,0.36,0.41,366,848,1214,384,467,0.822,194,533,727,269,72,83,226,267,1818
547,Gary Trent Jr.,SG,23,TOR,70,2448,0.414,18.5,0.445,0.579,0.415,0.48,0.376,0.383,545,541,1086,174,204,0.853,26,165,191,141,122,19,73,144,1283
548,P.J. Tucker,PF,36,MIA,71,1981,0.484,13.8,0.54,0.6,0.532,0.471,0.286,0.415,193,235,428,45,61,0.738,100,287,387,149,58,15,66,161,539
549,Rayjon Tucker,SG,24,TOT,5,71,0.667,18.2,0.5,1,,0,0,0.8,5,4,9,5,7,0.714,3,5,8,10,4,0,1,5,21
549,Rayjon Tucker,SG,24,DEN,3,29,0.5,25.8,,,,,,0.5,2,0,2,3,4,0.75,1,3,4,4,1,0,0,3,6
549,Rayjon Tucker,SG,24,MIL,2,42,0.714,16,0.5,1,,0,0,1,3,4,7,2,3,0.667,2,2,4,6,3,0,1,2,15
550,Myles Turner,C,25,IND,42,1235,0.509,14.8,0.662,0.789,0.565,0.526,0.545,0.333,183,210,393,79,105,0.752,65,232,297,44,28,118,54,119,540
551,Jonas Valančiūnas,C,29,NOP,74,2240,0.544,9.1,0.581,0.696,0.52,0.484,0.45,0.361,158,780,938,237,289,0.82,226,617,843,190,41,60,179,247,1314
552,Denzel Valentine,SG,28,TOT,24,222,0.379,20.6,0.316,0.75,0.333,0.143,0,0.404,47,19,66,0,0,,9,33,42,11,8,0,12,20,69
552,Denzel Valentine,SG,28,CLE,22,204,0.371,20.6,0.278,0.75,0.2,0.143,0,0.409,44,18,62,0,0,,9,29,38,11,7,0,10,17,64
552,Denzel Valentine,SG,28,UTA,2,18,0.5,21.6,1,,1,,,0.333,3,1,4,0,0,,0,4,4,0,1,0,2,3,5
553,Jarred Vanderbilt,PF,22,MIN,74,1880,0.587,3.1,0.605,0.71,0.289,0.25,0,0.143,14,347,361,86,131,0.656,215,409,624,94,99,46,73,181,512
554,Fred VanVleet,PG,27,TOR,65,2462,0.403,19.9,0.44,0.649,0.313,0.41,0.441,0.377,642,455,1097,194,222,0.874,44,245,289,434,111,35,170,162,1320
555,Devin Vassell,SF,21,SAS,71,1937,0.427,17.3,0.492,0.67,0.448,0.417,0.425,0.361,380,384,764,83,99,0.838,44,262,306,136,76,41,58,143,872
556,Gabe Vincent,PG,25,MIA,68,1589,0.417,19.5,0.5,0.563,0.475,0.524,0.378,0.368,323,190,513,44,54,0.815,22,104,126,210,62,12,98,158,591
557,Nikola Vučević,C,31,CHI,73,2418,0.473,13,0.537,0.708,0.49,0.449,0.397,0.314,331,823,1154,92,121,0.76,142,662,804,236,70,71,136,181,1288
558,Dean Wade,PF,25,CLE,51,980,0.456,18.3,0.64,0.767,0.5,0.267,1,0.359,142,75,217,20,30,0.667,31,119,150,52,29,7,16,88,269
559,Franz Wagner,SF,20,ORL,79,2429,0.468,10.4,0.511,0.625,0.455,0.31,0.25,0.354,271,704,975,189,219,0.863,84,272,356,231,68,34,119,164,1197
