Distance,Expected Points
1, 1.3623357664233575
2, 1.3496112714309962
3, 1.2643693770157867
5, 0.9431064335426922
7, 0.8209404175861484
8, 0.7952062468171788
9, 0.7880767272109999
10, 0.7958309285350536
11, 0.8277711763707352
12, 0.8243761670344594
14, 0.8529214055338653
16, 0.8275131556611781
18, 0.8411610931930064
