"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"30","Mac Jones (JAC)","224","345","64.9","2,120","6.1","10","12","22","26","96","0","2","11","118.3","10.8","2.3%"
"31","Kenny Pickett (PHI)","201","324","62.0","2,070","6.4","6","4","23","42","54","1","0","12","114.2","9.5","6.9%"
"32","Joe Flacco (IND)","123","204","60.3","1,616","7.9","13","8","8","9","2","0","1","5","108.9","21.8","17.4%"
"33","Will Levis (TEN)","149","255","58.4","1,808","7.1","8","4","28","25","57","1","4","9","106.1","11.8","10.3%"
"34","Tommy DeVito (NYG)","114","178","64.0","1,101","6.2","8","3","37","36","195","1","1","10","96.5","9.7","3.1%"
"35","Deshaun Watson (CLE)","105","171","61.4","1,115","6.5","7","4","17","26","142","1","2","6","90.9","15.2","32.3%"
"36","Tyrod Taylor (NYJ)","116","180","64.4","1,341","7.5","5","3","17","38","197","0","0","11","90.3","8.2","2.7%"
"37","Ryan Tannehill (FA)","149","230","64.8","1,616","7.0","4","7","32","17","74","1","0","9","87.0","9.7","1.1%"
"38","Bailey Zappe (NE)","127","212","59.9","1,272","6.0","6","9","25","17","83","1","1","10","78.2","7.8","1.1%"
"39","Nick Mullens (MIN)","100","148","67.6","1,306","8.8","7","8","12","10","25","0","0","5","74.6","14.9","4.1%"
"40","Anthony Richardson (IND)","50","84","59.5","577","6.9","3","1","7","25","136","4","1","4","73.6","18.4","58.0%"
"41","Jimmy Garoppolo (LAR)","110","169","65.1","1,205","7.1","7","9","14","20","39","0","0","7","73.1","10.4","1.7%"
"42","Taylor Heinicke (ATL)","74","136","54.4","890","6.5","5","4","8","15","124","1","0","5","70.0","14.0","3.1%"
"43","Easton Stick (LAC)","111","174","63.8","1,129","6.5","3","1","14","27","144","1","4","5","68.1","13.6","1.6%"
"44","Daniel Jones (NYG)","108","160","67.5","909","5.7","2","6","30","40","206","1","1","6","63.0","10.5","10.8%"
"45","Tyson Bagent (CHI)","94","143","65.7","859","6.0","3","6","5","23","109","2","2","5","59.3","11.9","0.7%"
"46","Mitchell Trubisky (BUF)","67","107","62.6","632","5.9","4","5","7","16","54","2","1","5","53.7","10.7","1.1%"
"47","Mason Rudolph (TEN)","55","74","74.3","719","9.7","3","0","6","10","8","0","1","4","39.6","9.9","1.6%"
"48","Drew Lock (NYG)","48","76","63.2","543","7.1","3","3","6","5","14","0","0","4","32.1","8.0","1.7%"
"49","Trevor Siemian (FA)","86","153","56.2","724","4.7","2","4","8","11","40","0","3","5","30.9","6.2","0.0%"
"50","Jarrett Stidham (DEN)","40","66","60.6","496","7.5","2","1","7","9","8","0","0","3","27.7","9.2","2.7%"
