"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"242","Isaiah Winstead (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"243","Shedrick Jackson (CIN)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"244","Ryan Miller (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"245","Brycen Tremayne (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Devontez Walker (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"247","Keon Coleman (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.4%"
"248","Malachi Corley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"249","David Durden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Tre'Shaun Harrison (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Dylan Drummond (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"252","Bryan Thompson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Lucky Jackson (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"255","Xavier Smith (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Josh Ali (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Maurice Alexander (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Daylen Baldwin (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Jacob Cowing (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"260","Johnny Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"261","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Jaray Jenkins (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Shaquan Davis (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Matt Landers (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Grant DuBose (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"266","Jared Wayne (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"267","Thayer Thomas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"268","Malik Knowles (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"269","Cephus Johnson III (TB)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"270","Terrell Bynum (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"271","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"272","Jalen Cropper (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"273","Malik Nabers (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.2%"
"274","Rome Odunze (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.7%"
"275","Kameron Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"276","JaQuae Jackson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"277","Sam Schnee (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"278","Bryce Oliver (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"279","Isaiah Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","Lawrence Keys III (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","Sam Pinckney (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"282","OJ Hiliare (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"283","Tyler Harrell (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"284","Dee Williams (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Cam Johnson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"286","Geordon Porter (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"287","Ayir Asante (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","Talik Keaton (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Isaiah Wooden (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","Terique Owens (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Julian Hicks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"292","Xavier Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"293","Devin Carter (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"294","Ahmarean Brown (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"295","Xavier White (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"296","Tre Mosley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"297","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"298","Mason Tipton (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Leon Johnson III (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"300","Jeff Foreman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"301","Jaelen Gill (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"302","Jaylen Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"303","Jermaine Jackson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"304","Corey Crooms Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"305","Sam Wiglusz (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"306","Drake Stoops (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"307","Praise Olatoke (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"308","Daniel George (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"309","Dakereon Joyner (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"310","Latreal Jones (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"311","Treveyon Pratt (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"312","Xavier Wade (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","Peter LeBlanc (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"314","Dakota Caton (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","John Jiles (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"316","Tanner Knue (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"317","Caleb Chapman (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","John Jackson III (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Hamze El-Zayat (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","David Wallis (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"321","Kaylon Horton (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Dimitri Stanley (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"323","Zach Mathis (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"324","David White Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"325","Jaaron Hayek (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"326","Wayne Ruby (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","Brevin Easton (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Cole Burgess (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"329","Joseph Scates (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"330","JJ Laap (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"331","RJ Mobley (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"332","Marcus Riley (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"333","Phillip Brooks (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"334","Cole Beck (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"335","Qadir Ismail (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Jalon Calhoun (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"337","Hayden Hatten (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"338","Chase Cota (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"339","Ladd McConkey (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.6%"
"340","Xavier Legette (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.0%"
"341","Roman Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"342","Jamari Thrash (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"343","Jaxon Janke (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"344","Ja'Lynn Polk (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.4%"
"345","Ty James (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"346","Dayton Wade (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"347","Jalen Coker (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"348","Anthony Gould (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"349","Lideatrick Griffin (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"350","Jadon Janke (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Ryan Flournoy (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"352","Devaughn Vele (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"353","Tejhaun Palmer (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"354","Casey Washington (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"355","Tahj Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"356","Je'Quan Burton (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"357","Brenden Rice (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"358","Ricky Pearsall (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.7%"
"359","Malik Washington (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"360","Luke McCaffrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5%"
"361","Marcus Rosemy-Jacksaint (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"362","Bub Means (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"363","Joshua Cephus (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"364","Jha'Quan Jackson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"365","Isaiah Williams (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Jordan Whittington (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"367","Ainias Smith (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"368","Ramel Keyton (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"369","Tayvion Robinson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"370","Jalen McMillan (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"371","Marvin Harrison Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.0%"
"372","Troy Franklin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"373","DJ Turner (LV)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.1%"
"374","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"375","Jacob Harris (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"376","Racey McMath (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"377","Jalen Camp (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"378","Kawaan Baker (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"379","Javon Baker (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"380","Cornell Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"381","Austin Watkins Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"382","Dax Milne (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"383","Jaelon Darden (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"384","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"385","Cornelius Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"386","Xavier Worthy (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.5%"
"387","Chris Autman-Bell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"388","Brian Thomas Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67.7%"
"389","Jermaine Burton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"390","Kearis Jackson (TEN)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"391","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"392","Montrell Washington (KC)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"393","Dareke Young (SEA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"394","Derek Wright (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"395","Kyric McGowan (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"396","Devon Allen (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"397","Ethan Fernea (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"398","Dennis Houston (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"399","Irvin Charles (NYJ)","0","1","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"400","Kendric Pryor (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"401","Raleigh Webb (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"402","Lance McCutcheon (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"403","Kaden Davis (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"404","Tay Martin (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"405","Justin Shorter (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"406","Xavier Weaver (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"407","Joseph Ngata (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"408","Michael Woods II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"409","Danny Gray (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"410","Adonai Mitchell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.4%"
"411","Mitchell Tinsley (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"412","Jalen Virgil (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"413","Braylon Sanders (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"414","Johnny Johnson III (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"415","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"416","Jordan Matthews (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"417","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"418","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"419","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"420","Matthew Slater (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"421","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"422","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"423","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"424","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"425","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"426","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"427","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"428","Justin Hardee Sr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"429","John Ross (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"430","Tim Patrick (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"431","Cam Sims (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"432","N'Keal Harry (MIN)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.1%"
"433","Dante Pettis (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"434","Tre'Quan Smith (DET)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"435","Daurice Fountain (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"436","Alex McGough (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"437","Ty Montgomery II (FA)","5","12","40","8.0","17","0","0","3","9","0","0","13","0.0","0.0","0.0%"
"438","Phillip Dorsett II (DEN)","0","3","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"439","Damiere Byrd (WAS)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"440","Derek Slywka (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"441","James Proche II (CLE)","0","5","0","0","0","0","0","0","0","0","1","10","-2.0","-0.2","0.0%"
"442","Trent Taylor (SF)","0","2","0","0","0","0","0","1","-2","0","1","16","-2.2","-0.1","0.0%"
""
""
