"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"21","Jakobi Meyers (LV)","71","106","807","11.4","33","10","8","4","24","2","0","16","147.6","9.2","76.1%"
"22","DeVonta Smith (PHI)","81","112","1,066","13.2","63","27","7","0","0","0","1","16","146.6","9.2","98.0%"
"23","George Pickens (PIT)","63","106","1,140","18.1","86","42","5","3","18","0","0","17","145.8","8.6","86.7%"
"24","Chris Olave (NO)","87","138","1,123","12.9","51","25","5","0","0","0","0","16","144.3","9.0","98.8%"
"25","Michael Pittman Jr. (IND)","109","156","1,152","10.6","75","20","4","0","0","0","1","16","141.2","8.8","97.2%"
"26","Justin Jefferson (MIN)","68","100","1,074","15.8","52","35","5","1","-12","0","1","10","134.2","13.4","100.0%"
"27","Rashee Rice (KC)","79","102","938","11.9","67","16","7","1","-3","0","1","16","133.5","8.3","89.9%"
"28","Courtland Sutton (DEN)","59","90","772","13.1","46","23","10","0","0","0","3","16","131.2","8.2","83.2%"
"29","Zay Flowers (BAL)","77","108","858","11.1","75","23","5","8","56","1","0","16","129.4","8.1","92.0%"
"30","Adam Thielen (CAR)","103","137","1,014","9.8","32","12","4","1","6","0","0","17","128.0","7.5","78.0%"
"31","Jaylen Waddle (MIA)","72","104","1,014","14.1","60","22","4","3","12","0","0","14","126.6","9.0","96.3%"
"32","Chris Godwin (TB)","83","130","1,024","12.3","47","22","2","4","38","1","0","17","126.2","7.4","90.3%"
"33","Terry McLaurin (WAS)","79","132","1,002","12.7","48","23","4","0","0","0","0","17","124.2","7.3","90.0%"
"34","Tyler Lockett (SEA)","79","122","894","11.3","37","13","5","0","0","0","0","17","123.4","7.3","88.6%"
"35","Brandin Cooks (DAL)","54","81","657","12.2","37","16","8","5","35","0","0","16","119.2","7.5","44.3%"
"36","Garrett Wilson (NYJ)","95","168","1,042","11.0","68","21","3","4","0","0","2","17","118.2","7.0","97.7%"
"37","Tank Dell (HOU)","47","75","709","15.1","68","17","7","11","51","0","0","11","118.0","10.7","59.9%"
"38","Gabe Davis (JAC)","45","81","746","16.6","57","21","7","1","-2","0","1","17","116.4","6.8","55.4%"
"39","Romeo Doubs (GB)","59","96","674","11.4","36","10","8","0","0","0","0","17","115.4","6.8","43.1%"
"40","Rashid Shaheed (NO)","46","75","719","15.6","58","31","5","7","37","0","1","16","109.6","6.9","40.7%"
"41","Cooper Kupp (LAR)","59","95","737","12.5","62","20","5","1","-3","0","0","12","105.4","8.8","97.8%"
"42","Drake London (ATL)","69","110","905","13.1","45","21","2","0","0","0","0","16","105.4","6.6","92.9%"
"43","Diontae Johnson (CAR)","51","87","717","14.1","71","18","5","0","0","0","0","13","101.7","7.8","83.1%"
"44","Darius Slayton (NYG)","50","79","770","15.4","80","22","4","0","0","0","0","17","101.0","5.9","2.7%"
"45","Tee Higgins (CIN)","42","76","656","15.6","80","14","5","0","0","0","0","12","95.6","8.0","94.5%"
"46","Curtis Samuel (BUF)","62","91","613","9.9","37","11","4","7","39","1","0","16","95.2","6.0","48.5%"
"47","Christian Kirk (JAC)","57","85","787","13.8","57","23","3","1","6","0","2","12","93.3","7.8","70.2%"
"48","Josh Downs (IND)","68","98","771","11.3","59","19","2","0","0","0","0","17","89.1","5.2","27.0%"
"49","Josh Reynolds (DEN)","40","64","608","15.2","33","18","5","0","0","0","1","17","88.8","5.2","7.4%"
"50","Jerry Jeudy (CLE)","54","87","758","14.0","47","21","2","0","0","0","0","16","87.8","5.5","61.3%"
"51","Jaxon Smith-Njigba (SEA)","63","93","628","10.0","35","10","4","0","0","0","0","17","86.8","5.1","76.0%"
"52","Hollywood Brown (KC)","51","101","574","11.3","41","11","4","2","23","0","0","14","83.7","6.0","78.8%"
"53","Dontayvion Wicks (GB)","39","58","581","14.9","35","14","4","1","1","0","1","15","80.8","5.4","6.4%"
"54","DJ Chark Jr. (LAC)","35","66","525","15.0","47","14","5","0","0","0","1","15","80.5","5.4","4.6%"
"55","Tyler Boyd (TEN)","67","98","667","10.0","64","12","2","2","11","0","0","17","78.8","4.6","28.0%"
"56","Michael Wilson (ARI)","38","58","565","14.9","69","11","3","0","0","0","0","13","76.5","5.9","9.9%"
"57","Jahan Dotson (WAS)","49","83","518","10.6","33","6","4","0","0","0","0","17","75.8","4.5","30.6%"
"58","Khalil Shakir (BUF)","39","45","611","15.7","81","17","2","1","10","0","0","17","74.1","4.4","9.9%"
"59","Tutu Atwell (LAR)","39","67","483","12.4","44","15","3","5","31","0","0","16","73.4","4.6","9.4%"
"60","Christian Watson (GB)","28","53","422","15.1","77","12","5","4","11","0","0","9","73.3","8.1","74.6%"
"61","Wan'Dale Robinson (NYG)","60","78","525","8.8","33","9","1","9","87","1","0","15","73.2","4.9","10.7%"
"62","Elijah Moore (CLE)","59","104","640","10.8","42","13","2","9","11","0","2","17","73.1","4.3","23.3%"
"63","Odell Beckham Jr. (MIA)","35","64","565","16.1","51","19","3","0","0","0","1","14","72.5","5.2","33.2%"
"64","K.J. Osborn (NE)","48","75","540","11.3","47","10","3","0","0","0","0","16","72.0","4.5","15.4%"
"65","Joshua Palmer (LAC)","38","61","581","15.3","79","19","2","1","6","0","1","11","68.7","6.2","27.2%"
"66","Noah Brown (HOU)","33","55","567","17.2","75","22","2","1","-1","0","0","10","68.6","6.9","23.6%"
