"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"103","Chris Manhertz (NYG)","2","4","16","8.0","10","0","0","0","0","0","0","16","1.6","0.1","0.1%"
"104","Eric Saubert (SF)","3","3","12","4.0","5","0","0","0","0","0","0","8","1.2","0.2","0.1%"
"105","Ross Dwelley (ATL)","1","2","12","12.0","12","0","0","0","0","0","0","12","1.2","0.1","0.0%"
"106","John FitzPatrick (ATL)","1","1","12","12.0","12","0","0","0","0","0","0","7","1.2","0.2","0.0%"
"107","Tucker Fisk (FA)","1","1","9","9.0","9","0","0","0","0","0","0","6","0.9","0.2","0.0%"
"108","Cole Fotheringham (LV)","1","1","6","6.0","6","0","0","0","0","0","0","2","0.6","0.3","0.0%"
"109","Kevin Rader (TEN)","1","3","6","6.0","6","0","0","0","0","0","0","14","0.6","0.0","0.0%"
"110","Jesper Horsted (NO)","1","1","4","4.0","4","0","0","0","0","0","0","5","0.4","0.1","0.0%"
"111","Nick Vannett (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","8","0.3","0.0","0.0%"
"112","Giovanni Ricci (CLE)","1","1","2","2.0","2","0","0","0","0","0","0","6","0.2","0.0","0.0%"
"113","Matt Sokol (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"114","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Parker Hesse (DET)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"116","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"117","Devin Asiasi (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Tommy Sweeney (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Tyree Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"120","Zach Gentry (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"122","Jody Fortson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"123","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"124","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Noah Togiai (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","0.0","0.0","0.0%"
"127","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Sean McKeon (DET)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"129","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Tommy Hudson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Cade Stover (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"133","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"134","Ryan Jones (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"136","Derek Parish (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"137","Joel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"139","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"140","Patrick Murtagh (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"142","E.J. Jenkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"144","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Rodney Williams (PIT)","0","2","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"147","Chris Pierce Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"148","Leroy Watson IV (TEN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"149","Dallin Holker (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Jaheim Bell (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"151","Kehinde Oginni Hassan (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Zaire Mitchell-Paden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Alec Holler (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Tip Reiman (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"156","Jacob Warren (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Jack Westover (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Brenden Bates (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Devin Culp (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Luke Benson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Steven Stilianos (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Treyton Welch (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Mason Pline (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Jjay Mcafee (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Thomas Yassmin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Neal Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Trent Pennix (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Kevin Foelsch (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Shawn Bowman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Lincoln Sefcik (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Mike Rigerman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Riley Sharp (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Joshua Lingenfelter (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Treyton Pickering (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Alex Larson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Easton Dean (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","David Martin-Robinson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Mason Fairchild (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Cam Grandy (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","John Samuel Shenker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Jordan Murray (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Brevyn Spann-Ford (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Zach Heins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","McCallan Castles (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Tanner McLachlan (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Jared Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"191","AJ Barner (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"192","Ben Sinnott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"193","La'Michael Pettway (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Matt Bushman (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Trey Knox (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Brock Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81.3%"
"197","Austin Stogner (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Theo Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"199","Malcolm Epps (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Baylor Cupp (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Miller Forristall (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Tre' McKitty (BUF)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"203","Hunter Long (LAR)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"204","Albert Okwuegbunam Jr. (PHI)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"205","Sammis Reyes (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Cameron Latu (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"207","Erick All Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"208","Nikola Kalinic (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Tanner Conner (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"210","Gerrit Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Armani Rogers (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Ja'Tavion Sanders (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"213","Jelani Woods (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"214","Jacob Harris (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"215","Josh Pederson (JAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"216","Ben Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Hunter Kampmoyer (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"218","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Michael Jacobson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Shane Zylstra (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Jordan Matthews (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","N'Keal Harry (MIN)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.1%"
"235","Anthony Firkser (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"236","Darrell Daniels (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"237","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"239","Jordan Thomas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"240","Tyler Kroft (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"241","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"243","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"244","Stephen Anderson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"245","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"246","Eric Tomlinson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Hayden Rucci (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","David Wells (TB)","2","2","-10","-5.0","1","0","0","0","0","0","0","5","-1.0","-0.2","0.0%"
""
""
