"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"37","Kareem Hunt (FA)","135","411","3.0","16","0","9","15","21","84","5.6","0","0","15","103.5","6.9","27.3%"
"38","Alexander Mattison (LV)","180","700","3.9","21","1","0","30","44","192","6.4","3","2","16","103.2","6.5","41.3%"
"39","Tyjae Spears (TEN)","100","453","4.5","23","3","2","52","70","385","7.4","1","0","17","101.8","6.0","64.5%"
"40","AJ Dillon (GB)","178","613","3.4","40","3","2","22","28","223","10.1","0","0","15","95.6","6.4","35.3%"
"41","Khalil Herbert (CHI)","132","611","4.6","38","8","2","20","31","134","6.7","1","1","12","92.5","7.7","29.8%"
"42","Justice Hill (BAL)","84","387","4.6","41","4","3","28","39","206","7.4","1","1","16","81.3","5.1","10.1%"
"43","D'Onta Foreman (CLE)","109","425","3.9","22","1","4","11","16","77","7.0","1","0","9","80.2","8.9","19.4%"
"44","Ty Chandler (MIN)","102","461","4.5","31","5","3","21","25","159","7.6","0","0","16","80.0","5.0","61.9%"
"45","Antonio Gibson (NE)","65","265","4.1","16","0","1","48","59","389","8.1","2","2","16","79.4","5.0","52.8%"
"46","Jaleel McLaughlin (DEN)","76","410","5.4","38","6","1","31","36","160","5.2","2","0","17","75.0","4.4","9.4%"
"47","Rico Dowdle (DAL)","89","361","4.1","21","2","2","17","22","144","8.5","2","0","16","74.5","4.7","10.7%"
"48","Zach Charbonnet (SEA)","108","462","4.3","23","4","1","33","40","209","6.3","0","0","16","73.1","4.6","62.7%"
"49","Samaje Perine (DEN)","53","238","4.5","24","1","1","50","56","455","9.1","0","2","17","71.3","4.2","12.8%"
"50","Dameon Pierce (HOU)","145","416","2.9","22","1","2","13","17","101","7.8","0","0","14","69.7","5.0","28.1%"
"51","Roschon Johnson (CHI)","81","352","4.3","29","2","2","34","40","209","6.1","0","0","15","68.1","4.5","14.2%"
"52","Kenneth Gainwell (PHI)","84","364","4.3","32","4","2","30","37","183","6.1","0","1","16","67.4","4.2","14.9%"
"53","Latavius Murray (FA)","79","300","3.8","29","2","4","17","22","119","7.0","0","0","16","65.9","4.1","7.6%"
"54","Keaton Mitchell (BAL)","47","396","8.4","60","13","2","9","11","93","10.3","0","0","7","60.9","8.7","17.8%"
"55","Miles Sanders (CAR)","129","432","3.3","48","3","1","27","41","154","5.7","0","2","16","60.6","3.8","23.7%"
"56","Jerick McKinnon (FA)","21","60","2.9","10","0","1","25","32","192","7.7","4","0","12","59.4","5.0","16.2%"
"57","Zamir White (LV)","104","451","4.3","43","4","1","15","19","98","6.5","0","1","15","58.9","3.9","73.8%"
"58","Joshua Kelley (FA)","107","405","3.8","49","4","2","8","12","32","4.0","0","1","17","53.7","3.2","6.6%"
"59","Clyde Edwards-Helaire (KC)","70","223","3.2","20","1","1","17","22","188","11.1","1","0","15","53.1","3.5","23.7%"
"60","Emari Demercado (ARI)","58","284","4.9","49","3","2","21","30","119","5.7","0","0","14","52.3","3.7","2.2%"
"61","Royce Freeman (DAL)","77","319","4.1","23","1","2","1","2","13","13.0","0","0","11","45.2","4.1","3.3%"
"62","Jamaal Williams (NO)","106","306","2.9","17","0","1","18","20","62","3.4","0","0","13","42.8","3.3","10.3%"
"63","Jordan Mason (SF)","40","206","5.2","26","1","3","3","4","31","10.3","0","0","16","41.7","2.6","2.3%"
"64","Elijah Mitchell (SF)","75","281","3.7","18","0","2","6","8","14","2.3","0","0","11","41.5","3.8","8.9%"
"65","Chase Brown (CIN)","44","179","4.1","31","3","0","14","15","156","11.1","1","0","12","39.5","3.3","35.6%"
"66","Pierre Strong Jr. (CLE)","63","291","4.6","40","4","1","5","8","47","9.4","0","1","17","37.8","2.2","0.6%"
"67","Chris Rodriguez Jr. (WAS)","51","247","4.8","16","0","2","2","2","12","6.0","0","1","11","35.9","3.3","1.3%"
"68","Cam Akers (MIN)","60","167","2.8","19","0","2","11","12","70","6.4","0","0","7","35.7","5.1","9.2%"
"69","Michael Carter (ARI)","30","187","6.2","21","1","0","24","31","101","4.2","1","0","15","34.8","2.3","1.3%"
"70","Darrell Henderson Jr. (FA)","46","112","2.4","16","0","2","10","14","103","10.3","0","0","4","33.5","8.4","2.6%"
"71","Kendre Miller (NO)","41","156","3.8","18","0","1","10","11","117","11.7","0","0","8","33.3","4.2","7.6%"
"72","Matt Breida (FA)","55","151","2.7","9","0","1","17","21","88","5.2","0","0","17","29.9","1.8","1.1%"
"73","Cordarrelle Patterson (PIT)","50","181","3.6","18","0","0","9","12","38","4.2","1","0","14","27.9","2.0","1.4%"
"74","Jeff Wilson Jr. (MIA)","41","188","4.6","15","0","0","14","17","85","6.1","0","0","10","27.3","2.7","6.8%"
"75","Salvon Ahmed (MIA)","22","61","2.8","10","0","1","16","23","88","5.5","1","0","9","26.9","3.0","0.6%"
"76","Chase Edmonds (TB)","49","176","3.6","21","1","0","14","17","81","5.8","0","0","13","25.7","2.0","0.8%"
"77","Ty Johnson (BUF)","30","132","4.4","13","0","0","7","7","62","8.9","1","0","9","25.4","2.8","0.6%"
"78","Dalvin Cook (FA)","67","214","3.2","14","0","0","15","20","78","5.2","0","2","15","25.2","1.7","9.5%"
"79","Tony Jones Jr. (ARI)","26","95","3.7","19","0","2","7","10","37","5.3","0","0","7","25.2","3.6","0.0%"
"80","D'Ernest Johnson (JAC)","41","108","2.6","19","0","0","10","12","140","14.0","0","0","17","24.8","1.5","2.7%"
"81","Craig Reynolds (DET)","41","179","4.4","19","0","1","5","5","47","9.4","0","2","15","24.6","1.6","0.8%"
"82","Kyle Juszczyk (SF)","5","6","1.2","3","0","0","14","17","119","8.5","2","0","17","24.5","1.4","1.0%"
"83","Darrynton Evans (BUF)","32","121","3.8","13","0","1","7","12","49","7.0","0","0","6","23.0","3.8","0.1%"
